lat;lon;CODE;CITY;COUNTRY;MONTH;AVG_TEMP;PRCP;TSUN
1.73;33.62;SRT;SOROTI;UGANDA;August;24.03;0;0
1.73;33.62;SRT;SOROTI;UGANDA;September;29;0;0
1.73;33.62;SRT;SOROTI;UGANDA;Oktober;23.53;0;0
1.73;33.62;SRT;SOROTI;UGANDA;November;27.8;0;0
1.73;33.62;SRT;SOROTI;UGANDA;Dezember;22.7;0;0
4.54;103.43;KTE;KERTEH;MALAYSIA;Januar;25.35;0;0
5.02;6.95;PHC;PORT HARTCOURT;NIGERIA;Januar;27.4;0;0
6.19;100.4;AOR;ALOR SETAR;MALAYSIA;Januar;27.47;0;0
6.23;-10.36;ROB;MONROVIA;LIBERIA;Mai;27.15;0;0
6.23;-10.36;ROB;MONROVIA;LIBERIA;Juni;26.16;0;0
7.7;8.61;MDI;MAKURDI;NIGERIA;Dezember;27.9;0;0
7.73;27.98;WUU;WAU;SUDAN;Januar;29.14;0;15000
8.43;20.64;NDL;N'DELE;CENTRAL AFRICAN REP.;Januar;26.7;0;17340
8.43;20.64;NDL;N'DELE;CENTRAL AFRICAN REP.;Februar;29.6;0;0
8.43;20.64;NDL;N'DELE;CENTRAL AFRICAN REP.;Dezember;25.43;0;0
8.72;39.01;N/A;DEBRE ZEIT;ETHIOPIA;Juni;18.2;0;0
8.72;39.01;N/A;DEBRE ZEIT;ETHIOPIA;Juli;15.3;0;0
9.15;18.38;SRH;SARH;CHAD;Januar;26.08;0;15488.57
9.34;13.37;GOU;GAROUA;CAMEROON;Januar;25.9;0;16012.5
9.34;13.37;GOU;GAROUA;CAMEROON;Februar;29.23;0;13820
9.38;14.93;PLF;PALA;CHAD;Januar;24.48;0;17160
9.52;44.09;HGA;HARGEISA;SOMALIA;Mai;25.1;0;0
9.52;44.09;HGA;HARGEISA;SOMALIA;Juni;24.9;0;0
9.56;31.65;MAK;MALAKAL;SUDAN;Februar;29.83;0;14705.45
9.65;6.46;MXJ;MINNA;NIGERIA;Januar;27.97;0;15948
9.65;6.46;MXJ;MINNA;NIGERIA;Dezember;27.76;0;17160
10.08;-2.51;N/A;WA;GHANA;Januar;28.75;0;0
10.08;-2.51;N/A;WA;GHANA;Dezember;27.9;0;0
10.24;22.72;IRO;BIRAO;CENTRAL AFRICAN REP.;Februar;25.85;0;0
10.45;14.26;MVR;MAROUA;CAMEROON;Januar;26.69;0;15555
10.45;14.26;MVR;MAROUA;CAMEROON;Februar;28.01;0;14800
10.45;14.26;MVR;MAROUA;CAMEROON;Maerz;33.5;0;16890
10.45;14.26;MVR;MAROUA;CAMEROON;November;28.53;0;18900
10.45;14.26;MVR;MAROUA;CAMEROON;Dezember;26.18;0;16940
10.59;-85.54;LIR;LIBERIA;COSTA RICA;Februar;29.64;0;0
11.33;-12.29;LEK;LABE;GUINEA;Januar;20.75;0;15570
11.33;-12.29;LEK;LABE;GUINEA;Dezember;23.2;0;15900
11.79;34.34;N/A;DAMAZIN;SUDAN;Dezember;26.73;0;17220
11.86;13.08;MIU;MAIDUGURI;NIGERIA;Januar;24.68;0;0
11.86;13.08;MIU;MAIDUGURI;NIGERIA;Februar;26.17;0;0
11.86;13.08;MIU;MAIDUGURI;NIGERIA;Maerz;30.22;0;0
11.86;13.08;MIU;MAIDUGURI;NIGERIA;April;34.1;0;0
11.86;13.08;MIU;MAIDUGURI;NIGERIA;Juni;31.3;0;0
11.86;13.08;MIU;MAIDUGURI;NIGERIA;Juli;28.17;0;0
11.86;13.08;MIU;MAIDUGURI;NIGERIA;September;27.8;0;0
11.86;13.08;MIU;MAIDUGURI;NIGERIA;Oktober;29.18;0;0
11.86;13.08;MIU;MAIDUGURI;NIGERIA;November;28.55;0;0
11.86;13.08;MIU;MAIDUGURI;NIGERIA;Dezember;25.08;0;0
12.05;8.52;KAN;KANO;NIGERIA;Januar;21.53;0;0
12.05;8.52;KAN;KANO;NIGERIA;Februar;22.87;0;0
12.05;8.52;KAN;KANO;NIGERIA;Maerz;24.23;0;0
12.05;8.52;KAN;KANO;NIGERIA;April;25.89;0;0
12.05;8.52;KAN;KANO;NIGERIA;Oktober;32.01;0;0
12.05;8.52;KAN;KANO;NIGERIA;November;29.86;0;0
12.05;24.96;UYL;NYALA;SUDAN;November;30.58;0;19120
12.05;8.52;KAN;KANO;NIGERIA;Dezember;30.58;0;0
12.05;24.96;UYL;NYALA;SUDAN;Dezember;26.68;0;18096
12.13;15.03;NDJ;N'DJAMENA;CHAD;November;27.64;0;18247.06
12.13;15.03;NDJ;N'DJAMENA;CHAD;Dezember;24.22;0;18751.43
12.56;-16.28;ZIG;ZIGUINCHOR;SENEGAL;April;27.13;0;16266.32
13.15;30.23;EBD;EL OBEID;SUDAN;Dezember;22.79;0;18454.74
13.37;12.63;N/A;DIFFA;NIGER;Januar;21.52;0;15900
13.37;12.63;N/A;DIFFA;NIGER;Dezember;22.7;0;13920
13.41;103.81;REP;SIEM-REAP;CAMBODIA;Januar;25.8;0;0
13.41;103.81;REP;SIEM-REAP;CAMBODIA;Februar;27.1;0;0
13.41;103.81;REP;SIEM-REAP;CAMBODIA;Maerz;29.67;0;0
13.41;103.81;REP;SIEM-REAP;CAMBODIA;April;30.13;0;0
13.41;103.81;REP;SIEM-REAP;CAMBODIA;Mai;30.03;0;0
13.41;103.81;REP;SIEM-REAP;CAMBODIA;Juni;29.03;0;0
13.41;103.81;REP;SIEM-REAP;CAMBODIA;Juli;28.47;0;0
